service_id,date,exception_type
AFA25GEN-1038-Sunday-00_C56,20251127,1
AFA25GEN-1038-Sunday-00_C56,20251225,1
AFA25GEN-1038-Sunday-00_C56,20260101,1
AFA25GEN-1038-Sunday-00_C56,20260201,2
AFA25GEN-1039-Saturday-00_C43,20260119,1
AFA25GEN-1039-Saturday-00_C43,20260131,2
AFA25GEN-1039-Saturday-00_C43,20260216,1
AFA25GEN-1093-Weekday-00_C8,20251127,2
AFA25GEN-1093-Weekday-00_C8,20251225,2
AFA25GEN-1093-Weekday-00_C8,20260101,2
AFA25GEN-1093-Weekday-00_C8,20260119,2
AFA25GEN-1093-Weekday-00_C8,20260128,2
AFA25GEN-1093-Weekday-00_C8,20260129,2
AFA25GEN-1093-Weekday-00_C8,20260130,2
AFA25GEN-1093-Weekday-00_C8,20260202,2
AFA25GEN-1093-Weekday-00_C8,20260203,2
AFA25GEN-1093-Weekday-00_C8,20260204,2
AFA25GEN-1093-Weekday-00_C8,20260205,2
AFA25GEN-1093-Weekday-00_C8,20260216,2
AFA25GEN-2042-Saturday-00_C45,20260119,1
AFA25GEN-2042-Saturday-00_C45,20260131,2
AFA25GEN-2042-Saturday-00_C45,20260216,1
AFA25GEN-2048-Sunday-00_C10,20251127,1
AFA25GEN-2048-Sunday-00_C10,20251225,1
AFA25GEN-2048-Sunday-00_C10,20260101,1
AFA25GEN-2048-Sunday-00_C10,20260201,2
AFA25GEN-2100-Weekday-00_C33,20251127,2
AFA25GEN-2100-Weekday-00_C33,20251225,2
AFA25GEN-2100-Weekday-00_C33,20260101,2
AFA25GEN-2100-Weekday-00_C33,20260119,2
AFA25GEN-2100-Weekday-00_C33,20260128,2
AFA25GEN-2100-Weekday-00_C33,20260129,2
AFA25GEN-2100-Weekday-00_C33,20260130,2
AFA25GEN-2100-Weekday-00_C33,20260202,2
AFA25GEN-2100-Weekday-00_C33,20260203,2
AFA25GEN-2100-Weekday-00_C33,20260204,2
AFA25GEN-2100-Weekday-00_C33,20260205,2
